Financial  Year,Payee_Name,Part_Postcode,Town,Parliamentary Constituency,County Council,Scheme,scheme detail,activity level,Amount
21/22,Konnor Barrett,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,35869
21/22,Konnor Barrett,L37, Formby , Sefton Central , None,Farming Equipment and Technology Fund,,N/a,3486
21/22,Konnor Barrett,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,17856
21/22,Konnor Barrett,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,28800
21/22,Konnor Barrett,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,27524
21/22,Kristin Pineda,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,24824
21/22,Kristin Pineda,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,26493
21/22,Kristin Pineda,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,20271
21/22,Kristin Pineda,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,High,29826
21/22,Kristin Pineda,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,19306
21/22,Kristin Pineda,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,2265
21/22,Kristin Pineda,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,1736
21/22,Lacey Anderson,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Hedgerow,Low,13354
21/22,Lacey Anderson,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,25085
21/22,Lacey Anderson,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,35924
21/22,Lacey Anderson,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,3355
21/22,Lacey Anderson,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,10349
21/22,Laci Irwin,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,11534
21/22,Laci Irwin,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Hedgerow,Low,16864
21/22,Landon Hendricks,SL2, Hedgerley , Beaconsfield , None,Farming Equipment and Technology Fund,,N/a,11084
21/22,Landon Hendricks,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Hedgerow,High,29550
21/22,Landon Hendricks,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,16193
21/22,Landon Hendricks,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,14668
21/22,Layne Maldonado,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,31692
21/22,Layne Maldonado,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,High,6665
21/22,Layne Maldonado,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,31578
21/22,Layne Maldonado,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,5435
21/22,Layne Maldonado,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,Medium,3751
21/22,Leila Gallegos,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,On farm woodland,Low,5715
21/22,Leila Gallegos,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,20857
21/22,Leila Gallegos,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,5663
21/22,Leila Gallegos,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,Medium,10103
21/22,Leila Gallegos,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,High,21268
21/22,Leila Gallegos,DG2, None , Dumfries and Galloway , None,Farming Equipment and Technology Fund,,N/a,9588
21/22,Leila Gallegos,DG2, None , Dumfries and Galloway , None,Farming Equipment and Technology Fund,,N/a,22371
21/22,Leila Gallegos,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,13848
21/22,Leila Gallegos,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,25580
21/22,Lewis Aguirre,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,17262
21/22,Lewis Aguirre,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,16065
21/22,Lewis Aguirre,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,4052
21/22,Lewis Aguirre,GU31, Harting , Chichester , West Sussex,Farming Equipment and Technology Fund,,N/a,17354
21/22,Lewis Aguirre,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,23711
21/22,Lewis Aguirre,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,On farm woodland,Low,33980
21/22,Libby Huff,GU31, Harting , Chichester , West Sussex,Farming Equipment and Technology Fund,,N/a,25948
21/22,Libby Huff,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Hedgerow,Low,15825
21/22,Libby Huff,GU31, Harting , Chichester , West Sussex,Farming Equipment and Technology Fund,,N/a,1399
21/22,Libby Huff,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Low and no input Grassland,High,26306
21/22,Libby Huff,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,6267
21/22,Libby Huff,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,On farm woodland,Low,9277
21/22,Libby Huff,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,12821
21/22,Libby Huff,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Hedgerow,High,17037
21/22,Libby Huff,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,On farm woodland,High,23471
21/22,Lillie Terrell,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,23510
21/22,Lillie Terrell,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,5417
21/22,Lillie Terrell,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,16442
21/22,Lillie Terrell,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,On farm woodland,High,27430
21/22,Lillie Terrell,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,13028
21/22,Lillie Terrell,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,On farm woodland,Low,20551
21/22,Lillie Terrell,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland,High,32150
21/22,Lillie Terrell,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,34368
21/22,Lillie Terrell,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,5927
21/22,Lillie Terrell,DY3, Dudley,   Dudley North , None,Farming Equipment and Technology Fund,,N/a,24780
21/22,Lizbeth Valencia,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,9522
21/22,Lizbeth Valencia,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,4055
21/22,Lizbeth Valencia,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,29246
21/22,Lizbeth Valencia,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,32988
21/22,Lizbeth Valencia,DA1, Dartford,   Dartford , Kent,Farming Equipment and Technology Fund,,N/a,13081
21/22,Lizbeth Valencia,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,9501
21/22,Lizbeth Valencia,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Improved Grassland soils,High,20649
21/22,Lizbeth Valencia,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,10831
21/22,Lorena Avila,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,On farm woodland,Low,31651
21/22,Lorena Avila,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,26556
21/22,Lorena Avila,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,26237
21/22,Lorena Avila,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,13301
21/22,Louis Buckley,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,14894
21/22,Louis Buckley,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,3944
21/22,Lyla Bray,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,25917
21/22,Lyla Bray,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,14575
21/22,Lyla Bray,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,13922
21/22,Lyla Bray,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,4630
21/22,Lyla Bray,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,15364
21/22,Lyla Bray,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,On farm woodland,High,5893
21/22,Lyla Bray,SN3, Covingham , North Swindon , None,Farming Equipment and Technology Fund,,N/a,24157
21/22,Lyla Bray,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,12112
21/22,Lyla Bray,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Hedgerow,High,26128
21/22,Madalynn Mccullough,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,4418
21/22,Madalynn Mccullough,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,2874
21/22,Madalynn Mccullough,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,21055
21/22,Madalynn Mccullough,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Hedgerow,High,8100
21/22,Madilyn Kelley,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,9620
21/22,Madilyn Kelley,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,29668
21/22,Madilyn Kelley,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,12062
21/22,Madilyn Kelley,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Hedgerow,Low,3643
21/22,Madilyn Kelley,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,13676
21/22,Madilyn Kelley,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,2009
21/22,Madilyn Kelley,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,12766
21/22,Makhi Sawyer,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,15104
21/22,Makhi Sawyer,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,On farm woodland,Medium,27382
21/22,Makhi Sawyer,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,30128
21/22,Makhi Sawyer,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland,High,5717
21/22,Makhi Sawyer,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,4472
21/22,Malakai Burch,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,19604
21/22,Malakai Burch,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,6360
21/22,Malakai Burch,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,21409
21/22,Malakai Burch,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Hedgerow,Low,1257
21/22,Malakai Burch,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,22896
21/22,Marquise Mcgrath,L37, Formby , Sefton Central , None,Farming Equipment and Technology Fund,,N/a,33761
21/22,Marquise Mcgrath,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,29768
21/22,Marquise Mcgrath,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,34654
21/22,Messiah Escobar,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,4489
21/22,Messiah Escobar,DE22, Derby,   Derby North , None,Farming Equipment and Technology Fund,,N/a,16317
21/22,Messiah Escobar,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,5552
21/22,Messiah Escobar,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,21686
21/22,Messiah Escobar,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,33610
21/22,Messiah Escobar,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,On farm woodland,High,11674
21/22,Messiah Escobar,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,22560
21/22,Mikaela Matthews,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,9624
21/22,Mikaela Matthews,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,2420
21/22,Mikaela Matthews,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,31401
21/22,Mikaela Matthews,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,30187
21/22,Mikaela Matthews,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,Low,12396
21/22,Mikaela Matthews,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,High,32852
21/22,Milton Branch,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,2616
21/22,Milton Branch,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,8594
21/22,Milton Branch,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,High,35382
21/22,Moriah Hahn,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,21978
21/22,Moriah Hahn,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,10872
21/22,Moriah Hahn,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,Medium,16535
21/22,Moriah Hahn,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,On farm woodland,Medium,26233
21/22,Moriah Hahn,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,32528
21/22,Moriah Hahn,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,2850
21/22,Natalie Prince,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,29307
21/22,Natalie Prince,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,On farm woodland,High,23826
21/22,Natalya Rios,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,On farm woodland,Medium,29214
21/22,Natalya Rios,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Farming Equipment and Technology Fund,,N/a,14206
21/22,Natalya Rios,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,2244
21/22,Natalya Rios,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Farming Equipment and Technology Fund,,N/a,17262
21/22,Natalya Rios,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Hedgerow,Medium,21763
21/22,Neveah Rodgers,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,23549
21/22,Neveah Rodgers,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Hedgerow,Low,3729
21/22,Pablo Wells,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,On farm woodland,Medium,23326
21/22,Pablo Wells,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Low and no input Grassland,High,27354
21/22,Pablo Wells,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland,High,15012
21/22,Pablo Wells,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Low and no input Grassland,High,15810
21/22,Pablo Wells,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,On farm woodland,Low,35818
21/22,Pablo Wells,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,15611
21/22,Ralph Kane,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,23135
21/22,Ralph Kane,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,31864
21/22,Ralph Kane,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,4845
21/22,Ralph Kane,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,33748
21/22,Ralph Kane,EC1R , Islington,   Islington South and Finsbury , None,Farming Equipment and Technology Fund,,N/a,1440
21/22,Ralph Kane,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,9174
21/22,Raymond Villarreal,S72, Barnsley,   Barnsley East , None,Farming Equipment and Technology Fund,,N/a,35682
21/22,Raymond Villarreal,S72, Barnsley,   Barnsley East , None,Farming Equipment and Technology Fund,,N/a,25961
21/22,Raymond Villarreal,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,31347
21/22,Raymond Villarreal,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,8682
21/22,Reagan Bell,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,18192
21/22,Reagan Bell,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,10092
21/22,Reagan Bell,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,35459
21/22,Reagan Bell,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Hedgerow,High,19506
21/22,Reagan Bell,DY3, Dudley,   Dudley North , None,Farming Equipment and Technology Fund,,N/a,2102
21/22,Reagan Bell,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,35517
21/22,Reilly Sullivan,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,8491
21/22,Reilly Sullivan,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,On farm woodland,Medium,21260
21/22,Reilly Sullivan,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Improved Grassland,High,23794
21/22,Reilly Sullivan,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Hedgerow,Low,3240
21/22,Reilly Sullivan,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland,High,23398
21/22,Reilly Sullivan,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,34327
21/22,Reilly Sullivan,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,1881
21/22,Reilly Sullivan,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,15388
21/22,Rey Jones,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,On farm woodland,High,20716
21/22,Rey Jones,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland,High,10459
21/22,Rey Jones,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,17987
21/22,Rey Jones,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Hedgerow,High,35789
21/22,Rey Jones,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland,High,24944
21/22,Rey Jones,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,17574
21/22,Rey Jones,SN3, Covingham , North Swindon , None,Farming Equipment and Technology Fund,,N/a,16417
21/22,Rey Jones,SN3, Covingham , North Swindon , None,Farming Equipment and Technology Fund,,N/a,33190
21/22,Romeo Miles,SN3, Covingham , North Swindon , None,Farming Equipment and Technology Fund,,N/a,8351
21/22,Romeo Miles,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,9398
21/22,Romeo Miles,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,On farm woodland,Low,9474
21/22,Romeo Miles,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,30074
21/22,Romeo Miles,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland,High,23924
21/22,Romeo Miles,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,32435
21/22,Romeo Miles,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Improved Grassland,Medium,11860
21/22,Roselyn Andrade,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Low and no input Grassland,High,15832
21/22,Roselyn Andrade,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,17267
21/22,Roselyn Andrade,EX17, Washford Pyne , Central Devon , Devon,Farming Equipment and Technology Fund,,N/a,2317
21/22,Roselyn Andrade,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Farming Equipment and Technology Fund,,N/a,30785
21/22,Roselyn Pham,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,15455
21/22,Roselyn Pham,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,27158
21/22,Roselyn Pham,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Hedgerow,Low,17625
21/22,Roselyn Pham,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland,Low,16570
21/22,Salvador Tapia,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,20846
21/22,Salvador Tapia,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,24916
21/22,Salvador Tapia,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,26203
21/22,Salvador Tapia,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,32023
21/22,Salvatore Noble,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,11857
21/22,Salvatore Noble,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,8970
21/22,Salvatore Noble,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,35318
21/22,Salvatore Noble,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,12093
21/22,Salvatore Noble,L37, Formby , Sefton Central , None,Farming Equipment and Technology Fund,,N/a,22808
21/22,Salvatore Noble,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Hedgerow,Low,20786
21/22,Salvatore Noble,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,21257
21/22,Salvatore Noble,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,15558
21/22,Samantha Mcmahon,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,High,9257
21/22,Samantha Mcmahon,DE22, Derby,   Derby North , None,Farming Equipment and Technology Fund,,N/a,11785
21/22,Samantha Mcmahon,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,On farm woodland,High,24957
21/22,Samantha Mcmahon,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Hedgerow,High,9130
21/22,Samantha Mcmahon,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,28303
21/22,Samantha Mcmahon,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,31614
21/22,Samantha Mcmahon,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,2705
21/22,Sanaa Moyer,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,On farm woodland,High,15235
21/22,Sanaa Moyer,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,25420
21/22,Sanaa Moyer,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,On farm woodland,Low,3568
21/22,Sanaa Moyer,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,3909
